id;label;latitude;longitude
74472113;"Name: Turnvater-Jahn-Stra·e; Station Number: 42588";4998333600;823999300
74472114;"Name: Uni / Forum; Station Number: 42589";4999441000;824418600
74472115;"Name: Uni / Haupteingang; Station Number: 42590";4999649400;824682100
74472116;"Name: Uni / Mensa; Station Number: 42591";4999191900;823482200
74472117;"Name: Uni / Muschel; Station Number: 42592";4999259500;824116200
74472118;"Name: UniversitÑtsmedizin SÅd; Station Number: 42593";4999031700;825671700
74472119;"Name: Uni / Wittichweg; Station Number: 42594";4999434800;823713000
74472120;"Name: Volkspark; Station Number: 42595";4998575200;828984200
74472121;"Name: Weinlager / Zollhafen; Station Number: 42596";5001400000;826363400
74472122;"Name: Weinprobierstand; Station Number: 42597";4999912300;830629700
74472123;"Name: Wiener Platz; Station Number: 42598";5000593500;829404500
74472124;"Name: Wilhelm-Raabe-Stra·e; Station Number: 42599";5000348800;821317600
74472126;"Name: Zitadellenweg / Bahnhof Rîmisches Theater; Station Number: 42601";4999256400;827842900
74473016;"Name: MÅhlweg; Station Number: 42602";4998525800;825386900
74473017;"Name: Friedrich-Ebert-Stra·e; Station Number: 42633";4997849000;829384000
74473018;"Name: Ricarda-Huch-Stra·e; Station Number: 42603";4999730800;823693400
74473019;"Name: Krongarten; Station Number: 42634";5000963600;821784700
74473020;"Name: Suderstra·e; Station Number: 42604";5001776900;822966500
74473021;"Name: Hechtsheimer Stra·e; Station Number: 42635";4998839200;827935300
74473022;"Name: SÅdwestrundfunk / Am Fort Gonsenheim; Station Number: 42605";5000395200;824798300
74473023;"Name: Wilhelm-Quetsch-Stra·e / zum Gutenberg Center; Station Number: 42636";4997028000;823613800
74473024;"Name: Hochheimer Stra·e; Station Number: 42606";5000667600;828921900
74473025;"Name: Gonsenheimer Stra·e; Station Number: 42637";5002093800;817805800
74473026;"Name: Rathaus Budenheim; Station Number: 42607";5002156000;816572100
74473027;"Name: Tanzplatz; Station Number: 42638";4998289700;830290300
74473028;"Name: Rilkeallee; Station Number: 42608";4995514200;819607000
74473029;"Name: Hebbelstra·e / BÅrgerhaus Lerchenberg; Station Number: 42639";4995716900;818982200
74473030;"Name: Am Sonnigen Hang; Station Number: 42609";4996314400;823242700
74473031;"Name: Hindemithstra·e; Station Number: 42640";4995862200;819849400
74473032;"Name: Budenheim Golfplatz; Station Number: 42610";5002643500;819454900
74473033;"Name: BÅrgerhaus Budenheim / Waldschwimmbad; Station Number: 42641";5001837400;815990800
74473034;"Name: Eaubonner Stra·e; Station Number: 42611";5001870500;817054800
74473035;"Name: Budenheimer Volksbank; Station Number: 42642";5002292500;817005500
74473036;"Name: Friedrich-Ebert-Platz; Station Number: 42612";4996705000;834426800
74473037;"Name: Altrhein / FÑhre; Station Number: 42643";4996332600;834359300
74473038;"Name: Ballou-Platz; Station Number: 42613";4997484600;833792700
74473039;"Name: TIGZ; Station Number: 42644";4999295500;831976300
74473040;"Name: Friedhof Gustavsburg; Station Number: 42614";4999647200;833413900
74473041;"Name: Fritz-Bauer-Platz; Station Number: 42645";4999706500;832334900
